dexNumber,name,printingCount,tier,pickerGroupCount,pickerGroupSizes
722,Rowlet,31,26-40,2,18|13
723,Dartrix,15,01-25,1,15
724,Decidueye,27,26-40,2,18|9
725,Litten,21,01-25,2,18|3
726,Torracat,11,01-25,1,11
727,Incineroar,19,01-25,2,18|1
728,Popplio,15,01-25,1,15
729,Brionne,8,01-25,1,8
730,Primarina,13,01-25,1,13
731,Pikipek,10,01-25,1,10
732,Trumbeak,6,01-25,1,6
733,Toucannon,8,01-25,1,8
734,Yungoos,9,01-25,1,9
735,Gumshoos,11,01-25,1,11
736,Grubbin,12,01-25,1,12
737,Charjabug,11,01-25,1,11
738,Vikavolt,17,01-25,1,17
739,Crabrawler,13,01-25,1,13
740,Crabominable,17,01-25,1,17
741,Oricorio,39,26-40,3,18|18|3
742,Cutiefly,11,01-25,1,11
743,Ribombee,9,01-25,1,9
744,Rockruff,26,26-40,2,18|8
745,Lycanroc,40,26-40,3,18|18|4
746,Wishiwashi,18,01-25,1,18
747,Mareanie,11,01-25,1,11
748,Toxapex,11,01-25,1,11
749,Mudbray,7,01-25,1,7
750,Mudsdale,10,01-25,1,10
751,Dewpider,10,01-25,1,10
752,Araquanid,10,01-25,1,10
753,Fomantis,7,01-25,1,7
754,Lurantis,10,01-25,1,10
755,Morelull,11,01-25,1,11
756,Shiinotic,11,01-25,1,11
757,Salandit,20,01-25,2,18|2
758,Salazzle,25,01-25,2,18|7
759,Stufful,16,01-25,1,16
760,Bewear,19,01-25,2,18|1
761,Bounsweet,8,01-25,1,8
762,Steenee,8,01-25,1,8
763,Tsareena,15,01-25,1,15
764,Comfey,8,01-25,1,8
765,Oranguru,18,01-25,1,18
766,Passimian,18,01-25,1,18
767,Wimpod,11,01-25,1,11
768,Golisopod,16,01-25,1,16
769,Sandygast,15,01-25,1,15
770,Palossand,15,01-25,1,15
771,Pyukumuku,9,01-25,1,9
772,Type: Null,11,01-25,1,11
773,Silvally,19,01-25,2,18|1
774,Minior,7,01-25,1,7
775,Komala,8,01-25,1,8
776,Turtonator,20,01-25,2,18|2
777,Togedemaru,19,01-25,2,18|1
778,Mimikyu,42,41-60,3,18|18|6
779,Bruxish,11,01-25,1,11
780,Drampa,24,01-25,2,18|6
781,Dhelmise,23,01-25,2,18|5
782,Jangmo-o,7,01-25,1,7
783,Hakamo-o,5,01-25,1,5
784,Kommo-o,8,01-25,1,8
785,Tapu Koko,32,26-40,2,18|14
786,Tapu Lele,14,01-25,1,14
787,Tapu Bulu,11,01-25,1,11
788,Tapu Fini,12,01-25,1,12
789,Cosmog,14,01-25,1,14
790,Cosmoem,8,01-25,1,8
791,Solgaleo,22,01-25,2,18|4
792,Lunala,22,01-25,2,18|4
793,Nihilego,9,01-25,1,9
794,Buzzwole,21,01-25,2,18|3
795,Pheromosa,15,01-25,1,15
796,Xurkitree,10,01-25,1,10
797,Celesteela,13,01-25,1,13
798,Kartana,12,01-25,1,12
799,Guzzlord,18,01-25,1,18
800,Necrozma,31,26-40,2,18|13
801,Magearna,17,01-25,1,17
802,Marshadow,21,01-25,2,18|3
803,Poipole,6,01-25,1,6
804,Naganadel,14,01-25,1,14
805,Stakataka,9,01-25,1,9
806,Blacephalon,13,01-25,1,13
807,Zeraora,35,26-40,2,18|17
808,Meltan,15,01-25,1,15
809,Melmetal,26,26-40,2,18|8
810,Grookey,12,01-25,1,12
811,Thwackey,8,01-25,1,8
812,Rillaboom,20,01-25,2,18|2
813,Scorbunny,16,01-25,1,16
814,Raboot,9,01-25,1,9
815,Cinderace,23,01-25,2,18|5
816,Sobble,12,01-25,1,12
817,Drizzile,6,01-25,1,6
818,Inteleon,19,01-25,2,18|1
819,Skwovet,13,01-25,1,13
820,Greedent,22,01-25,2,18|4
821,Rookidee,10,01-25,1,10
822,Corvisquire,9,01-25,1,9
823,Corviknight,19,01-25,2,18|1
824,Blipbug,7,01-25,1,7
825,Dottler,7,01-25,1,7
826,Orbeetle,14,01-25,1,14
827,Nickit,10,01-25,1,10
828,Thievul,11,01-25,1,11
829,Gossifleur,9,01-25,1,9
830,Eldegoss,12,01-25,1,12
831,Wooloo,12,01-25,1,12
832,Dubwool,12,01-25,1,12
833,Chewtle,9,01-25,1,9
834,Drednaw,14,01-25,1,14
835,Yamper,11,01-25,1,11
836,Boltund,17,01-25,1,17
837,Rolycoly,8,01-25,1,8
838,Carkol,8,01-25,1,8
839,Coalossal,14,01-25,1,14
840,Applin,14,01-25,1,14
841,Flapple,14,01-25,1,14
842,Appletun,7,01-25,1,7
843,Silicobra,7,01-25,1,7
844,Sandaconda,15,01-25,1,15
845,Cramorant,19,01-25,2,18|1
846,Arrokuda,8,01-25,1,8
847,Barraskewda,7,01-25,1,7
848,Toxel,17,01-25,1,17
849,Toxtricity,28,26-40,2,18|10
850,Sizzlipede,12,01-25,1,12
851,Centiskorch,20,01-25,2,18|2
852,Clobbopus,10,01-25,1,10
853,Grapploct,10,01-25,1,10
854,Sinistea,7,01-25,1,7
855,Polteageist,8,01-25,1,8
856,Hatenna,7,01-25,1,7
857,Hattrem,5,01-25,1,5
858,Hatterene,9,01-25,1,9
859,Impidimp,8,01-25,1,8
860,Morgrem,8,01-25,1,8
861,Grimmsnarl,14,01-25,1,14
862,Galarian Obstagoon,13,01-25,1,13
863,Galarian Perrserker,14,01-25,1,14
864,Galarian Cursola,6,01-25,1,6
865,Galarian Sirfetch'd,6,01-25,1,6
866,Galarian Mr. Rime,7,01-25,1,7
867,Galarian Runerigus,3,01-25,1,3
868,Milcery,11,01-25,1,11
869,Alcremie,17,01-25,1,17
870,Falinks,15,01-25,1,15
871,Pincurchin,11,01-25,1,11
872,Snom,11,01-25,1,11
873,Frosmoth,12,01-25,1,12
874,Stonjourner,13,01-25,1,13
875,Eiscue,14,01-25,1,14
876,Indeedee,19,01-25,2,18|1
877,Morpeko,40,26-40,3,18|18|4
878,Cufant,11,01-25,1,11
879,Copperajah,15,01-25,1,15
880,Dracozolt,6,01-25,1,6
881,Arctozolt,3,01-25,1,3
882,Dracovish,3,01-25,1,3
883,Arctovish,4,01-25,1,4
884,Duraludon,22,01-25,2,18|4
885,Dreepy,8,01-25,1,8
886,Drakloak,8,01-25,1,8
887,Dragapult,17,01-25,1,17
888,Zacian,29,26-40,2,18|11
889,Zamazenta,19,01-25,2,18|1
890,Eternatus,13,01-25,1,13
891,Kubfu,3,01-25,1,3
892,Rapid Strike Urshifu,24,01-25,2,18|6
893,Zarude,12,01-25,1,12
894,Regieleki,7,01-25,1,7
895,Regidrago,9,01-25,1,9
896,Glastrier,2,01-25,1,2
897,Spectrier,2,01-25,1,2
898,Calyrex,21,01-25,2,18|3
899,Wyrdeer,5,01-25,1,5
900,Kleavor,7,01-25,1,7
901,Ursaluna,11,01-25,1,11
902,Hisuian Basculegion,4,01-25,1,4
903,Hisuian Sneasler,5,01-25,1,5
904,Hisuian Overqwil,2,01-25,1,2
905,Enamorus,7,01-25,1,7
906,Sprigatito,18,01-25,1,18
907,Floragato,11,01-25,1,11
908,Meowscarada,17,01-25,1,17
909,Fuecoco,13,01-25,1,13
910,Crocalor,7,01-25,1,7
911,Skeledirge,10,01-25,1,10
912,Quaxly,10,01-25,1,10
913,Quaxwell,6,01-25,1,6
914,Quaquaval,10,01-25,1,10
915,Lechonk,14,01-25,1,14
916,Oinkologne,10,01-25,1,10
917,Tarountula,9,01-25,1,9
918,Spidops,9,01-25,1,9
919,Nymble,9,01-25,1,9
920,Lokix,6,01-25,1,6
921,Pawmi,13,01-25,1,13
922,Pawmo,8,01-25,1,8
923,Pawmot,12,01-25,1,12
924,Tandemaus,12,01-25,1,12
925,Maushold,11,01-25,1,11
926,Fidough,8,01-25,1,8
927,Dachsbun,7,01-25,1,7
928,Smoliv,7,01-25,1,7
929,Dolliv,6,01-25,1,6
930,Arboliva,7,01-25,1,7
931,Squawkabilly,10,01-25,1,10
932,Nacli,8,01-25,1,8
933,Naclstack,5,01-25,1,5
934,Garganacl,8,01-25,1,8
935,Charcadet,17,01-25,1,17
936,Armarouge,16,01-25,1,16
937,Ceruledge,10,01-25,1,10
938,Tadbulb,11,01-25,1,11
939,Bellibolt,19,01-25,2,18|1
940,Wattrel,14,01-25,1,14
941,Kilowattrel,14,01-25,1,14
942,Maschiff,9,01-25,1,9
943,Mabosstiff,11,01-25,1,11
944,Shroodle,9,01-25,1,9
945,Grafaiai,9,01-25,1,9
946,Bramblin,7,01-25,1,7
947,Brambleghast,6,01-25,1,6
948,Toedscool,12,01-25,1,12
949,Toedscruel,11,01-25,1,11
950,Klawf,8,01-25,1,8
951,Capsakid,7,01-25,1,7
952,Scovillain,8,01-25,1,8
953,Rellor,8,01-25,1,8
954,Rabsca,8,01-25,1,8
955,Flittle,13,01-25,1,13
956,Espathra,10,01-25,1,10
957,Tinkatink,15,01-25,1,15
958,Tinkatuff,12,01-25,1,12
959,Tinkaton,17,01-25,1,17
960,Wiglett,13,01-25,1,13
961,Wugtrio,12,01-25,1,12
962,Bombirdier,11,01-25,1,11
963,Finizen,7,01-25,1,7
964,Palafin,13,01-25,1,13
965,Varoom,16,01-25,1,16
966,Revavroom,18,01-25,1,18
967,Cyclizar,19,01-25,2,18|1
968,Orthworm,8,01-25,1,8
969,Glimmet,8,01-25,1,8
970,Glimmora,8,01-25,1,8
971,Greavard,12,01-25,1,12
972,Houndstone,11,01-25,1,11
973,Flamigo,10,01-25,1,10
974,Cetoddle,8,01-25,1,8
975,Cetitan,9,01-25,1,9
976,Veluza,7,01-25,1,7
977,Dondozo,10,01-25,1,10
978,Tatsugiri,11,01-25,1,11
979,Annihilape,9,01-25,1,9
980,Paldean Clodsire,13,01-25,1,13
981,Farigiraf,6,01-25,1,6
982,Dudunsparce,8,01-25,1,8
983,Kingambit,8,01-25,1,8
984,Great Tusk,9,01-25,1,9
985,Scream Tail,7,01-25,1,7
986,Brute Bonnet,4,01-25,1,4
987,Flutter Mane,8,01-25,1,8
988,Slither Wing,4,01-25,1,4
989,Sandy Shocks,7,01-25,1,7
990,Iron Treads,7,01-25,1,7
991,Iron Bundle,9,01-25,1,9
992,Iron Hands,7,01-25,1,7
993,Iron Jugulis,4,01-25,1,4
994,Iron Moth,4,01-25,1,4
995,Iron Thorns,6,01-25,1,6
996,Frigibax,6,01-25,1,6
997,Arctibax,5,01-25,1,5
998,Baxcalibur,6,01-25,1,6
999,Gimmighoul,11,01-25,1,11
1000,Gholdengo,15,01-25,1,15
1001,Wo-Chien,7,01-25,1,7
1002,Chien-Pao,13,01-25,1,13
1003,Ting-Lu,8,01-25,1,8
1004,Chi-Yu,10,01-25,1,10
1005,Roaring Moon,11,01-25,1,11
1006,Iron Valiant,10,01-25,1,10
1007,Koraidon,22,01-25,2,18|4
1008,Miraidon,23,01-25,2,18|5
1009,Walking Wake,8,01-25,1,8
1010,Iron Leaves,8,01-25,1,8
1011,Dipplin,7,01-25,1,7
1012,Poltchageist,5,01-25,1,5
1013,Sinistcha,6,01-25,1,6
1014,Okidogi,7,01-25,1,7
1015,Munkidori,7,01-25,1,7
1016,Fezandipiti,8,01-25,1,8
1017,Teal Mask Ogerpon,35,26-40,2,18|17
1018,Archaludon,9,01-25,1,9
1019,Hydrapple,7,01-25,1,7
1020,Gouging Fire,8,01-25,1,8
1021,Raging Bolt,9,01-25,1,9
1022,Iron Boulder,9,01-25,1,9
1023,Iron Crown,8,01-25,1,8
1024,Terapagos,13,01-25,1,13
1025,Pecharunt,8,01-25,1,8
